Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir
3/11/13,-11.9,-8.9,-10.4,-10.1,6,93.6,nan,3.2,136
3/12/13,-19.3,-11.3,-15.3,-15.7,5.9,83,nan,19.9,nan
3/13/13,-20.2,-16.7,-18.5,-19.1,5.8,73.8,nan,12.5,nan
3/14/13,-19.2,-14.5,-16.8,-16.7,5.9,78.4,nan,11.9,nan
3/15/13,-18.2,-7.9,-13.1,-11.1,5.9,86.3,nan,6.1,nan
3/16/13,-14,-8.4,-11.2,-11.6,6,89.9,nan,1.6,nan
3/17/13,-18.9,-14.2,-16.6,-17.1,5.9,68.8,nan,3.8,nan
3/18/13,-19.6,-11.3,-15.5,-15.1,5.9,58.9,nan,2.7,nan
3/19/13,-17.8,-10.4,-14.1,-13.1,5.9,80.1,nan,4.2,nan
3/20/13,-20.1,-17.2,-18.6,-18.6,5.9,71,nan,10.1,nan
3/21/13,-18.8,-11.1,-15,-15.9,5.9,74,nan,3.2,77
3/22/13,-14.9,-12.8,-13.9,-14,5.9,81.1,nan,1.9,258
3/23/13,-13.9,-9.6,-11.8,-11.8,6,85.3,nan,1.7,168
3/24/13,-9.8,-4.5,-7.2,-6.9,6,91.2,nan,4.3,nan
3/25/13,-8.8,-4.5,-6.6,-5.8,6,93,nan,8.4,nan
3/26/13,-12.4,-8.8,-10.6,-10.9,6,93.7,nan,5.9,nan
3/27/13,-13.6,-6.7,-10.2,-11.1,6,92.3,nan,1,nan
3/28/13,-14.7,-7,-10.8,-11.6,5.9,88.7,nan,1.4,nan
3/29/13,-13.3,-4.6,-9,-9.7,6,90.5,nan,2.2,nan
3/30/13,-8.7,-1.9,-5.3,-5.9,6.1,94,nan,3.3,nan
3/31/13,-8.1,-3,-5.6,-5.9,6,64.3,nan,1.7,nan
4/1/13,-9.2,-5.3,-7.3,-6.6,6.1,90.6,nan,4.5,nan
4/2/13,-10.2,-4.9,-7.5,-8,6,95.6,nan,nan,nan
4/3/13,-11.4,-5,-8.2,-9.8,6,94.4,nan,nan,nan
4/4/13,-14.5,-10.2,-12.3,-12.7,5.8,75.4,nan,13.9,nan
4/5/13,-15.7,-7.7,-11.7,-12.4,5.9,77.6,nan,7.9,nan
4/6/13,-7.7,-1.2,-4.5,-3.8,6.1,88.5,nan,5.9,nan
4/7/13,-7.6,-2,-4.8,-5.2,6,75.2,nan,3.4,nan
4/8/13,-7.6,-4.5,-6.1,-5.7,6,86.9,nan,9.3,nan
4/9/13,-11.7,-3.7,-7.7,-6,6,94.9,nan,10.2,168
4/10/13,-12.9,-10.5,-11.7,-11.8,6,92.7,nan,3.7,231
4/11/13,-13.3,-8.6,-11,-11.7,6,92.7,nan,3.5,nan
4/12/13,-12,-9.4,-10.7,-10.8,5.9,86,nan,14.5,nan
4/13/13,-11.8,-8.9,-10.3,-10.2,5.9,77.6,nan,11.9,nan
4/14/13,-9.7,-7.2,-8.5,-8.6,6,75.1,nan,9.5,nan
4/15/13,-8.8,-3,-5.9,-7,6,75.6,nan,3.4,103
4/16/13,-8,-7.4,-7.7,-7.7,6,78,nan,5.2,nan
4/17/13,-8.4,-5.2,-6.8,-6.4,6,90.7,nan,5.8,nan
4/18/13,-10.7,-5.2,-8,-8,6,87.1,nan,3.1,nan
4/19/13,-14.2,-8.8,-11.5,-11.8,5.9,69.3,nan,2.4,267
4/20/13,-12.8,-8.8,-10.8,-10.7,5.9,66.9,nan,5.2,nan
4/21/13,-10.2,-4.5,-7.3,-8,5.9,58,nan,1.5,nan
4/22/13,-8.6,-6,-7.3,-7.4,6,85.5,nan,1.8,247
4/23/13,-8.2,0.5,-3.8,-3.9,5.9,66.6,nan,1.7,328
4/24/13,-5.2,-1.5,-3.3,-3.6,6,98.2,nan,2.6,nan
4/25/13,-6.1,-2,-4,-4.5,6,97.9,nan,2.1,nan
4/26/13,-8.3,-5.7,-7,-6.5,6,95.1,nan,4.6,nan
4/27/13,-9.7,-3.7,-6.7,-7.8,6,93.3,nan,2.7,nan
4/28/13,-15.8,-7.9,-11.8,-12,6,82.6,nan,9.9,nan
4/29/13,-17.1,-10.3,-13.7,-14.1,5.9,63.9,nan,7.8,nan
4/30/13,-14,-8.8,-11.4,-11,6,86.1,nan,2.4,242
5/1/13,-8.8,-3,-5.9,-6.1,6,90.6,nan,9,nan
5/2/13,-3.6,-1.4,-2.5,-2.6,6.1,99.1,nan,4.5,nan
5/3/13,-3.8,-0.8,-2.3,-2.2,6.1,99.3,nan,4.9,nan
5/4/13,-1.3,1.4,0.1,0.3,6,98.2,nan,6.3,nan
5/5/13,-2.7,-0.1,-1.4,-1.4,6,95.3,nan,4.3,nan
